Precinct,Adjusted_or_Unadjusted,Census_Total_Pop,Adjusted_Total_Pop,Adjusted_One_Race_Pop,Adjusted_White_Alone_Pop,Adjusted_Black_Alone_Pop,Adjusted_American_Indian_Alaskan_Native_Alone_Pop,Adjusted_Asian_Alone_Pop,Adjusted_Native_Hawaiian_Pacific_Islander_Alone_Pop,Adjusted_Other_Race_Alone_Pop,Adjusted_Multiracial_Pop,Adjusted_Hispanic_Latino_Pop,Adjusted_Total_Adult_Pop
027-041,Adj,2457,2461,2253,1771,381,4,75,0,22,100,108,1892
027-042,Unadj,2120,2120,1963,1570,294,0,83,0,16,75,82,1674
027-043,Adj,897,898,822,681,91,1,46,0,3,31,45,848
027-044,Unadj,1497,1497,1378,1259,56,2,52,0,9,72,47,1181
027-051,Adj,389,391,376,274,NA,0,2,0,1,11,4,376
027-052,Adj,3577,3630,3427,3284,NA,10,15,2,20,91,112,2907
027-053,Adj,2158,2192,2095,2002,NA,8,1,0,4,35,62,1679
027-054,Adj,658,673,643,610,NA,1,1,1,2,19,11,521
027-055,Adj,1048,1070,1038,1018,NA,2,4,0,1,20,12,812
027-056,Adj,1151,1187,1128,1098,NA,4,6,0,7,27,32,955
027-057,Adj,2654,2687,2560,2474,NA,7,27,1,0,72,55,2252
027-058,Adj,793,809,772,744,NA,3,2,0,6,20,17,644
027-059,Adj,1165,1180,1099,1050,NA,1,5,0,6,34,47,967
027-060,Adj,1989,2000,1854,1457,NA,0,18,0,10,57,89,1599
027-061,Adj,1067,1071,978,733,NA,0,20,0,12,36,57,834
027-062,Adj,3039,3059,2796,1163,NA,7,33,0,53,59,204,2357
027-063,Adj,2614,2616,2467,1053,NA,2,42,1,56,67,82,1881
027-064,Adj,2604,2607,2424,445,NA,1,71,0,84,96,87,1835
027-065,Adj,4681,4686,4443,1143,NA,3,114,0,56,115,128,3477
027-066,Adj,3451,3452,3152,636,NA,0,23,0,44,111,189,2484
027-067,Adj,3991,4007,2975,1686,NA,8,38,0,74,98,934,2977
028-001,Adj,1992,2006,1651,1513,NA,1,24,0,5,45,310,1601
028-002,Adj,2754,2779,2582,2461,NA,13,14,1,20,94,103,2353
