County,County Name,Precinct,Congressional,Legislative,Office Name,Candidate Name,Party,Winner,Write-In?,Early Votes for Candidate,Early Votes Against,Election Night Votes for Candidate,Election Night Votes Against,Mail-In Ballot 1 Votes for Candidate,Mail-In Ballot 1 Votes Against,Provisional Votes for Candidate,Provisional Votes Against,Mail-In Ballot 2 Votes for Candidate,Mail-In Ballot 2 Votes Against,Total Votes For Candidate,Total Votes Against,Total Votes Cast
03,Baltimore City,001-002,07,46,Judge Orphans' Court,"Charles ""Chuck"" Bernstein",DEM,Y,NA,78,NA,309,NA,96,NA,48,NA,65,NA,596,0,596
03,Baltimore City,001-002,07,46,Judge Orphans' Court,Lewyn Scott Garrett,DEM,Y,NA,79,NA,285,NA,96,NA,47,NA,63,NA,570,0,570
03,Baltimore City,001-002,07,46,Judge Orphans' Court,Michele E. Loewenthal,DEM,Y,NA,82,NA,312,NA,101,NA,54,NA,67,NA,616,0,616
03,Baltimore City,001-002,07,46,Judge Orphans' Court,Other Write-Ins,NA,NA,Y,0,NA,6,NA,0,NA,1,NA,0,NA,7,0,7
03,Baltimore City,001-002,07,46,Sheriff,Sam Cogen,DEM,Y,NA,112,NA,395,NA,124,NA,61,NA,83,NA,775,0,775
03,Baltimore City,001-002,07,46,Sheriff,Other Write-Ins,NA,NA,Y,0,NA,2,NA,2,NA,0,NA,0,NA,4,0,4
03,Baltimore City,001-002,07,46,Board of Ed at Large,April Christina Curley,NON,NA,NA,29,NA,105,NA,52,NA,15,NA,29,NA,230,0,230
03,Baltimore City,001-002,07,46,Board of Ed at Large,Ashley E. Esposito,NON,Y,NA,67,NA,211,NA,74,NA,22,NA,35,NA,409,0,409
03,Baltimore City,001-002,07,46,Board of Ed at Large,Salimah Jasani,NON,NA,NA,53,NA,159,NA,56,NA,22,NA,46,NA,336,0,336
03,Baltimore City,001-002,07,46,Board of Ed at Large,Kwame Kenyatta-Bey,NON,Y,NA,27,NA,94,NA,24,NA,23,NA,22,NA,190,0,190
03,Baltimore City,001-002,07,46,Board of Ed at Large,Other Write-Ins,NA,NA,Y,0,NA,6,NA,0,NA,1,NA,2,NA,9,0,9
03,Baltimore City,001-003,07,46,Governor / Lt. Governor,Dan Cox and Gordana Schifanelli,REP,NA,NA,16,NA,61,NA,11,NA,1,NA,10,NA,99,0,99
03,Baltimore City,001-003,07,46,Governor / Lt. Governor,Wes Moore and Aruna Miller,DEM,Y,NA,91,NA,318,NA,160,NA,35,NA,122,NA,726,0,726
