Precinct,REGISTERED VOTERS - TOTAL,BALLOTS CAST - TOTAL,BALLOTS CAST - BLANK,Adjusted_or_Unadjusted,Census_Total_Pop,Adjusted_Total_Pop,Census_Total_Adult_Pop,Adjusted_Total_Adult_Pop,Adjusted_One_Race_Adult_Pop,Adjusted_White_Alone_Adult_Pop,Adjusted_Black_Alone_Adult_Pop,Adjusted_American_Indian_Alaskan_Native_Alone_Adult_Pop,Adjusted_Asian_Alone_Adult_Pop,Adjusted_Native_Hawaiian_Pacific_Islander_Alone_Adult_Pop,Adjusted_Other_Race_Alone_Adult_Pop,Adjusted_Multiracial_Adult_Pop,Adjusted_Hispanic_Latino_Adult_Pop,Adjusted_One_Race_Pop,Adjusted_White_Alone_Pop,Adjusted_Black_Alone_Pop,Adjusted_American_Indian_Alaskan_Native_Alone_Pop,Adjusted_Asian_Alone_Pop,Adjusted_Native_Hawaiian_Pacific_Islander_Alone_Pop,Adjusted_Other_Race_Alone_Pop,Adjusted_Multiracial_Pop,Adjusted_Hispanic_Latino_Pop,Registered_of_Adjusted_Adults,Turnout_of_Registered,Turnout_of_Adjusted_Adults,Registered_of_Unadjusted_Adults,Turnout_of_Unadjusted_Adults
015-011,1207,354,16,Adj,1798,1831,1416,1449,1389,65,1297,3,2,0,22,33,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.3,29.33,24.43,85.24,25
015-012,252,49,6,Adj,370,387,285,302,285,18,264,3,0,0,0,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.44,19.44,16.23,88.42,17.19
015-013,686,163,20,Adj,923,936,720,733,718,1,713,1,2,0,1,11,4,913,1,908,1,2,0,1,15,8,93.59,23.76,22.24,95.28,22.64
015-014,1275,402,10,Adj,1659,1690,1300,1330,1288,19,1261,7,1,0,0,32,10,1627,20,1593,7,3,0,4,46,17,95.86,31.53,30.23,98.08,30.92
015-015,708,191,3,Adj,886,911,652,677,653,20,628,1,0,0,4,16,8,881,25,851,1,0,0,4,21,9,104.58,26.98,28.21,108.59,29.29
015-016,686,166,6,Adj,889,915,680,706,702,6,696,0,0,0,0,2,2,906,8,896,2,0,0,0,6,3,97.17,24.2,23.51,100.88,24.41
015-017,1428,303,13,Adj,1750,1791,1366,1407,1373,13,1350,2,6,0,2,25,9,1747,13,1720,3,6,0,5,32,12,101.49,21.22,21.54,104.54,22.18
015-018,2389,451,14,Adj,3196,3287,2406,2496,2394,28,2342,2,9,1,12,56,46,3154,39,3087,3,9,2,14,79,54,95.71,18.88,18.07,99.29,18.74
015-019,64,37,6,Adj,90,96,66,72,66,0,63,0,2,0,1,1,5,NA,0,81,0,2,0,1,6,6,88.89,57.81,51.39,96.97,56.06
015-020,2124,487,27,Adj,3249,3296,2730,2776,2636,248,2093,2,274,0,19,69,71,3133,251,2587,2,274,0,19,86,77,76.51,22.93,17.54,77.8,17.84
015-021,1067,325,16,Adj,1460,1481,1190,1211,1163,26,1125,0,8,2,2,30,18,1409,30,1364,0,9,3,3,41,31,88.11,30.46,26.84,89.66,27.31
015-022,1206,297,14,Adj,1193,1225,893,924,889,52,825,1,2,3,6,21,14,1171,52,1103,1,6,3,6,30,24,130.52,24.63,32.14,135.05,33.26
015-023,1564,356,16,Adj,2345,2381,1907,1943,1869,94,1757,11,2,0,5,41,33,2277,102,2153,11,4,0,7,54,50,80.49,22.76,18.32,82.01,18.67
015-024,1717,442,20,Adj,2373,2417,1795,1837,1754,26,1717,5,0,0,6,53,30,2295,35,2243,5,0,1,11,74,48,93.47,25.74,24.06,95.65,24.62
015-025,754,140,7,Adj,1004,1019,866,881,818,78,732,4,0,0,4,29,34,938,81,844,4,2,0,7,38,43,85.58,18.57,15.89,87.07,16.17
016-001,663,138,1,Adj,961,989,717,745,715,24,680,0,4,1,6,10,20,949,27,905,0,4,1,12,15,25,88.99,20.81,18.52,92.47,19.25
016-002,1066,249,4,Adj,1561,1593,1284,1316,1256,23,1216,0,12,0,5,30,30,1518,34,1467,0,12,0,5,40,35,81,23.36,18.92,83.02,19.39
016-003,721,137,6,Adj,978,1001,782,805,765,28,726,0,4,1,6,21,19,941,33,894,0,5,1,8,27,33,89.57,19,17.02,92.2,17.52
016-004,459,81,3,Adj,649,662,497,510,485,10,464,1,4,2,4,14,11,632,10,607,1,5,2,7,17,13,90,17.65,15.88,92.35,16.3
016-005,1496,406,11,Adj,2020,2073,1633,1686,1631,54,1559,3,10,0,5,40,15,1988,58,1904,4,16,0,6,59,26,88.73,27.14,24.08,91.61,24.86
016-006,1462,410,14,Adj,2089,2124,1668,1702,1646,15,1622,4,0,0,5,28,28,2044,16,2018,5,0,0,5,29,51,85.9,28.04,24.09,87.65,24.58
016-007,1284,359,15,Adj,1635,1662,1238,1264,1209,18,1180,3,2,0,6,31,24,1587,20,1553,4,4,0,6,34,41,101.58,27.96,28.4,103.72,29
016-008,796,216,18,Adj,979,1000,754,775,753,7,744,2,0,0,0,11,11,967,8,953,2,4,0,0,16,17,102.71,27.14,27.87,105.57,28.65
016-009,1269,284,19,Adj,1607,1642,1241,1276,1234,8,1217,3,1,0,5,29,13,1582,13,1554,6,1,0,8,46,14,99.45,22.38,22.26,102.26,22.88
016-010,796,188,14,Adj,1071,1099,809,837,806,7,795,1,0,0,3,19,12,1063,8,1046,1,0,0,8,23,13,95.1,23.62,22.46,98.39,23.24
016-011,606,152,14,Adj,978,1001,765,788,741,19,721,0,0,0,1,27,20,932,19,912,0,0,0,1,44,25,76.9,25.08,19.29,79.22,19.87
